n,p,density,reciprocity,seeds,rounds_per_seed,median_realized_compression,p10_realized_compression,median_worst_saving,p10_worst_saving,mean_excluded_latency_rounds,p95_excluded_latency_rounds,abort_rate,exclusion_round_fraction,unsettled_fraction
10,0.8,0.5,0.7,200,10,0.8816,0.8350,0.4571,0.1487,2.7664,6.0000,0.7310,0.5743,0.3445
10,0.8,0.5,0.8,200,10,0.8939,0.8504,0.4882,0.1999,2.8225,7.0000,0.7415,0.5493,0.3401
10,0.8,0.5,0.9,200,10,0.9021,0.8604,0.5247,0.2266,2.6299,6.0000,0.7295,0.6155,0.3730
10,0.8,0.5,1,200,10,0.9083,0.8775,0.5641,0.3435,2.7594,7.0000,0.7305,0.6141,0.3527
10,0.8,0.1,0.8,200,10,0.7664,0.6706,0.0000,0.0000,2.5950,6.0000,0.6073,0.5479,0.3168
10,0.8,0.2,0.8,200,10,0.8372,0.7636,0.2068,0.0000,2.7143,6.0000,0.6970,0.5974,0.3432
10,0.8,0.3,0.8,200,10,0.8527,0.8030,0.3129,0.0000,2.7292,7.0000,0.7045,0.6261,0.3526
10,0.8,0.4,0.8,200,10,0.8786,0.8193,0.4197,0.0997,2.7673,7.0000,0.7255,0.6211,0.3659
10,0.8,0.6,0.8,200,10,0.9038,0.8706,0.5101,0.3047,2.7933,7.0000,0.7320,0.5784,0.3555
10,0.8,0.7,0.8,200,10,0.9107,0.8699,0.5725,0.3151,2.7878,7.0000,0.7370,0.6084,0.3692
10,0.8,0.8,0.8,200,10,0.9128,0.8784,0.5633,0.3747,2.7315,6.0000,0.7170,0.6325,0.3547
10,0.8,0.9,0.8,200,10,0.9177,0.8873,0.6312,0.3665,2.8424,7.0000,0.7525,0.5980,0.3940
10,0.8,1,0.8,200,10,0.9283,0.8985,0.6370,0.4565,2.8709,7.0000,0.7465,0.6213,0.3774
15,1,0.5,0,200,10,0.6518,0.6252,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,1,0.5,0.1,200,10,0.6934,0.6686,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,1,0.5,0.2,200,10,0.7272,0.7028,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,1,0.5,0.3,200,10,0.7551,0.7342,0.0063,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,1,0.5,0.4,200,10,0.7797,0.7582,0.0607,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,1,0.5,0.5,200,10,0.8009,0.7845,0.1064,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,1,0.5,0.6,200,10,0.8190,0.8028,0.1751,0.0074,0.0000,0.0000,0.0000,0.0000,0.0000
